,rv_dt,value,category,rv_seen
0,2022-01-01,92.33,Non Open Resolvers,36586
1,2022-01-02,92.29,Non Open Resolvers,37356
2,2022-01-03,92.21,Non Open Resolvers,39475
3,2022-01-04,90.69,Non Open Resolvers,38052
4,2022-01-05,90.26,Non Open Resolvers,39981
5,2022-01-06,90.0,Non Open Resolvers,41103
6,2022-01-07,90.86,Non Open Resolvers,41024
7,2022-01-08,92.27,Non Open Resolvers,40060
8,2022-01-09,92.44,Non Open Resolvers,41007
9,2022-01-10,91.07,Non Open Resolvers,40784
10,2022-01-11,91.15,Non Open Resolvers,40671
11,2022-01-12,91.25,Non Open Resolvers,38654
12,2022-01-13,90.93,Non Open Resolvers,39172
13,2022-01-14,91.11,Non Open Resolvers,38354
14,2022-01-15,91.76,Non Open Resolvers,36463
15,2022-01-16,91.52,Non Open Resolvers,39032
16,2022-01-17,90.63,Non Open Resolvers,39568
17,2022-01-18,90.84,Non Open Resolvers,39477
18,2022-01-19,90.84,Non Open Resolvers,36419
19,2022-01-20,90.76,Non Open Resolvers,35273
20,2022-01-21,90.29,Non Open Resolvers,34730
21,2022-01-22,91.78,Non Open Resolvers,36390
22,2022-01-23,91.51,Non Open Resolvers,37635
23,2022-01-24,90.43,Non Open Resolvers,37145
24,2022-01-25,91.36,Non Open Resolvers,36578
25,2022-01-26,92.27,Non Open Resolvers,35117
26,2022-01-27,90.78,Non Open Resolvers,33808
27,2022-01-28,91.14,Non Open Resolvers,35097
28,2022-01-29,92.32,Non Open Resolvers,33587
29,2022-01-30,92.39,Non Open Resolvers,37873
30,2022-01-31,91.04,Non Open Resolvers,33687
31,2022-02-01,90.21,Non Open Resolvers,35139
32,2022-02-02,91.0,Non Open Resolvers,37827
33,2022-02-03,90.43,Non Open Resolvers,35658
34,2022-02-04,88.82,Non Open Resolvers,38543
35,2022-02-05,91.9,Non Open Resolvers,37107
36,2022-02-06,92.0,Non Open Resolvers,39219
37,2022-02-07,90.4,Non Open Resolvers,36186
38,2022-02-08,92.01,Non Open Resolvers,42126
39,2022-02-09,92.07,Non Open Resolvers,39126
40,2022-02-10,91.99,Non Open Resolvers,41517
41,2022-02-11,91.91,Non Open Resolvers,39051
42,2022-02-12,92.46,Non Open Resolvers,51645
43,2022-02-13,92.69,Non Open Resolvers,46228
44,2022-02-14,91.75,Non Open Resolvers,39874
45,2022-02-15,91.0,Non Open Resolvers,41591
46,2022-02-16,91.23,Non Open Resolvers,46230
47,2022-02-17,90.17,Non Open Resolvers,40495
48,2022-02-18,92.27,Non Open Resolvers,38377
49,2022-02-19,92.38,Non Open Resolvers,44884
50,2022-02-20,92.4,Non Open Resolvers,47173
51,2022-02-21,91.17,Non Open Resolvers,46964
52,2022-02-22,91.21,Non Open Resolvers,43434
53,2022-02-23,91.7,Non Open Resolvers,46374
54,2022-02-24,91.24,Non Open Resolvers,43190
55,2022-02-25,91.83,Non Open Resolvers,43830
56,2022-02-26,93.13,Non Open Resolvers,51216
57,2022-02-27,92.5,Non Open Resolvers,51157
58,2022-02-28,91.86,Non Open Resolvers,48755
59,2022-03-01,91.36,Non Open Resolvers,45208
60,2022-03-02,91.91,Non Open Resolvers,42456
61,2022-03-03,90.43,Non Open Resolvers,35211
62,2022-03-04,91.34,Non Open Resolvers,34506
63,2022-03-05,91.82,Non Open Resolvers,35596
64,2022-03-06,91.73,Non Open Resolvers,39081
65,2022-03-07,91.05,Non Open Resolvers,36868
66,2022-03-08,89.82,Non Open Resolvers,35257
67,2022-03-09,90.26,Non Open Resolvers,33093
68,2022-03-10,90.05,Non Open Resolvers,33784
69,2022-03-11,90.66,Non Open Resolvers,32491
70,2022-03-12,92.03,Non Open Resolvers,35166
71,2022-03-13,92.39,Non Open Resolvers,38341
72,2022-03-14,91.24,Non Open Resolvers,37630
73,2022-03-15,91.07,Non Open Resolvers,37797
74,2022-03-16,90.44,Non Open Resolvers,36665
75,2022-03-17,90.78,Non Open Resolvers,33827
76,2022-03-18,91.48,Non Open Resolvers,33923
77,2022-03-19,91.32,Non Open Resolvers,39621
78,2022-03-20,91.41,Non Open Resolvers,40432
79,2022-03-21,90.48,Non Open Resolvers,38194
80,2022-03-22,90.64,Non Open Resolvers,38335
81,2022-03-23,90.88,Non Open Resolvers,39415
82,2022-03-24,92.05,Non Open Resolvers,46164
83,2022-03-25,91.56,Non Open Resolvers,41991
84,2022-03-26,93.13,Non Open Resolvers,43971
85,2022-03-27,91.76,Non Open Resolvers,45339
86,2022-03-28,91.6,Non Open Resolvers,41693
87,2022-03-29,91.07,Non Open Resolvers,41696
88,2022-03-30,90.29,Non Open Resolvers,38391
89,2022-03-31,90.75,Non Open Resolvers,39221
90,2022-04-01,91.25,Non Open Resolvers,41211
91,2022-04-02,92.32,Non Open Resolvers,46187
92,2022-04-03,92.59,Non Open Resolvers,50990
93,2022-04-04,91.84,Non Open Resolvers,45424
94,2022-04-05,90.92,Non Open Resolvers,45973
95,2022-04-06,92.08,Non Open Resolvers,54746
96,2022-04-07,91.53,Non Open Resolvers,49195
97,2022-04-08,90.93,Non Open Resolvers,57007
98,2022-04-09,92.25,Non Open Resolvers,64273
99,2022-04-10,93.17,Non Open Resolvers,73665
100,2022-04-11,92.92,Non Open Resolvers,68165
101,2022-04-12,92.51,Non Open Resolvers,61764
102,2022-04-13,92.54,Non Open Resolvers,57636
103,2022-04-14,92.32,Non Open Resolvers,51863
104,2022-04-15,92.55,Non Open Resolvers,64334
105,2022-04-16,92.68,Non Open Resolvers,58241
106,2022-04-17,93.49,Non Open Resolvers,63940
107,2022-04-18,93.41,Non Open Resolvers,75557
108,2022-04-19,93.15,Non Open Resolvers,70427
109,2022-04-20,92.68,Non Open Resolvers,62451
110,2022-04-21,92.59,Non Open Resolvers,58811
111,2022-04-22,92.6,Non Open Resolvers,53242
112,2022-04-23,93.18,Non Open Resolvers,53537
113,2022-04-24,93.59,Non Open Resolvers,62488
114,2022-04-25,92.99,Non Open Resolvers,73063
