,rv_dt,value,category,rv_seen
0,2022-01-01,7.63,Non Open Resolvers,1403
1,2022-01-02,5.63,Non Open Resolvers,1296
2,2022-01-03,7.12,Non Open Resolvers,1236
3,2022-01-04,7.14,Non Open Resolvers,1302
4,2022-01-05,7.21,Non Open Resolvers,1400
5,2022-01-06,4.99,Non Open Resolvers,1685
6,2022-01-07,7.29,Non Open Resolvers,1482
7,2022-01-08,7.44,Non Open Resolvers,1681
8,2022-01-09,8.05,Non Open Resolvers,1429
9,2022-01-10,4.94,Non Open Resolvers,1681
10,2022-01-11,6.93,Non Open Resolvers,1746
11,2022-01-12,7.48,Non Open Resolvers,1777
12,2022-01-13,4.78,Non Open Resolvers,1715
13,2022-01-14,5.42,Non Open Resolvers,1753
14,2022-01-15,5.86,Non Open Resolvers,2029
15,2022-01-16,6.03,Non Open Resolvers,1691
16,2022-01-17,6.92,Non Open Resolvers,1517
17,2022-01-18,5.1,Non Open Resolvers,1647
18,2022-01-19,6.27,Non Open Resolvers,1594
19,2022-01-20,5.77,Non Open Resolvers,1873
20,2022-01-21,3.61,Non Open Resolvers,1662
21,2022-01-22,4.76,Non Open Resolvers,1743
22,2022-01-23,5.65,Non Open Resolvers,1770
23,2022-01-24,4.0,Non Open Resolvers,1526
24,2022-01-25,5.23,Non Open Resolvers,1644
25,2022-01-26,2.08,Non Open Resolvers,1728
26,2022-01-27,4.7,Non Open Resolvers,1597
27,2022-01-28,4.2,Non Open Resolvers,1619
28,2022-01-29,3.89,Non Open Resolvers,1747
29,2022-01-30,3.92,Non Open Resolvers,1479
30,2022-01-31,2.48,Non Open Resolvers,1610
31,2022-02-01,3.66,Non Open Resolvers,1528
32,2022-02-02,2.83,Non Open Resolvers,1769
33,2022-02-03,2.65,Non Open Resolvers,2035
34,2022-02-04,2.65,Non Open Resolvers,1284
35,2022-02-05,1.34,Non Open Resolvers,1190
36,2022-02-06,3.78,Non Open Resolvers,1509
37,2022-02-07,4.44,Non Open Resolvers,1036
38,2022-02-08,5.62,Non Open Resolvers,961
39,2022-02-09,3.88,Non Open Resolvers,1315
40,2022-02-10,3.31,Non Open Resolvers,1086
41,2022-02-11,4.09,Non Open Resolvers,1126
42,2022-02-12,2.91,Non Open Resolvers,1066
43,2022-02-13,4.43,Non Open Resolvers,1378
44,2022-02-14,4.95,Non Open Resolvers,1213
45,2022-02-15,4.26,Non Open Resolvers,1501
46,2022-02-16,4.72,Non Open Resolvers,1166
47,2022-02-17,3.53,Non Open Resolvers,1248
48,2022-02-18,2.69,Non Open Resolvers,929
49,2022-02-19,3.81,Non Open Resolvers,1181
50,2022-02-20,4.38,Non Open Resolvers,959
51,2022-02-21,5.1,Non Open Resolvers,1137
52,2022-02-22,4.93,Non Open Resolvers,1279
53,2022-02-23,4.13,Non Open Resolvers,1405
54,2022-02-24,3.99,Non Open Resolvers,1228
55,2022-02-25,3.37,Non Open Resolvers,1097
56,2022-02-26,4.51,Non Open Resolvers,1243
57,2022-02-27,3.52,Non Open Resolvers,1306
58,2022-02-28,3.23,Non Open Resolvers,929
59,2022-03-01,2.27,Non Open Resolvers,880
60,2022-03-02,6.37,Non Open Resolvers,879
61,2022-03-03,4.17,Non Open Resolvers,959
62,2022-03-04,4.68,Non Open Resolvers,1046
63,2022-03-05,4.72,Non Open Resolvers,1017
64,2022-03-06,3.69,Non Open Resolvers,948
65,2022-03-07,6.19,Non Open Resolvers,1017
66,2022-03-08,4.21,Non Open Resolvers,1211
67,2022-03-09,4.71,Non Open Resolvers,807
68,2022-03-10,7.09,Non Open Resolvers,945
69,2022-03-11,2.98,Non Open Resolvers,872
70,2022-03-12,4.69,Non Open Resolvers,980
71,2022-03-13,2.77,Non Open Resolvers,1047
72,2022-03-14,4.13,Non Open Resolvers,1137
73,2022-03-15,5.94,Non Open Resolvers,1060
74,2022-03-16,5.99,Non Open Resolvers,969
75,2022-03-17,5.46,Non Open Resolvers,879
76,2022-03-18,3.08,Non Open Resolvers,943
77,2022-03-19,3.18,Non Open Resolvers,1038
78,2022-03-20,4.2,Non Open Resolvers,977
79,2022-03-21,2.13,Non Open Resolvers,984
80,2022-03-22,3.6,Non Open Resolvers,861
81,2022-03-23,5.49,Non Open Resolvers,710
82,2022-03-24,4.24,Non Open Resolvers,1014
83,2022-03-25,3.35,Non Open Resolvers,1045
84,2022-03-26,3.62,Non Open Resolvers,1076
85,2022-03-27,3.16,Non Open Resolvers,950
86,2022-03-28,3.48,Non Open Resolvers,978
87,2022-03-29,3.68,Non Open Resolvers,950
88,2022-03-30,5.85,Non Open Resolvers,958
89,2022-03-31,5.53,Non Open Resolvers,1122
90,2022-04-01,3.6,Non Open Resolvers,1028
91,2022-04-02,4.96,Non Open Resolvers,968
92,2022-04-03,4.02,Non Open Resolvers,946
93,2022-04-04,3.96,Non Open Resolvers,1085
94,2022-04-05,4.19,Non Open Resolvers,1075
95,2022-04-06,2.76,Non Open Resolvers,1339
96,2022-04-07,3.57,Non Open Resolvers,1234
97,2022-04-08,4.52,Non Open Resolvers,1083
98,2022-04-09,4.92,Non Open Resolvers,1200
99,2022-04-10,5.05,Non Open Resolvers,1209
100,2022-04-11,4.79,Non Open Resolvers,1065
101,2022-04-12,4.2,Non Open Resolvers,1287
102,2022-04-13,2.85,Non Open Resolvers,1509
103,2022-04-14,4.45,Non Open Resolvers,1235
104,2022-04-15,5.97,Non Open Resolvers,1173
105,2022-04-16,4.25,Non Open Resolvers,1413
106,2022-04-17,3.69,Non Open Resolvers,1355
107,2022-04-18,4.01,Non Open Resolvers,1196
108,2022-04-19,4.35,Non Open Resolvers,1332
109,2022-04-20,4.94,Non Open Resolvers,1235
110,2022-04-21,5.22,Non Open Resolvers,1380
111,2022-04-22,4.56,Non Open Resolvers,1074
112,2022-04-23,4.53,Non Open Resolvers,1236
113,2022-04-24,7.03,Non Open Resolvers,1323
114,2022-04-25,5.86,Non Open Resolvers,1007
115,2022-04-26,3.75,Non Open Resolvers,1281
116,2022-04-27,6.28,Non Open Resolvers,1194
117,2022-04-28,3.63,Non Open Resolvers,1130
118,2022-04-29,3.75,Non Open Resolvers,986
119,2022-04-30,4.18,Non Open Resolvers,1173
120,2022-05-01,7.82,Non Open Resolvers,921
121,2022-05-02,3.2,Non Open Resolvers,905
122,2022-05-03,4.52,Non Open Resolvers,1062
123,2022-05-04,3.15,Non Open Resolvers,1367
124,2022-05-05,4.14,Non Open Resolvers,1208
125,2022-05-06,8.08,Non Open Resolvers,1262
126,2022-05-07,3.95,Non Open Resolvers,1240
127,2022-05-08,6.57,Non Open Resolvers,1218
128,2022-05-09,6.53,Non Open Resolvers,996
129,2022-05-10,4.44,Non Open Resolvers,1261
130,2022-05-12,4.57,Non Open Resolvers,1138
131,2022-05-13,2.99,Non Open Resolvers,803
132,2022-05-14,5.47,Non Open Resolvers,768
133,2022-05-15,3.94,Non Open Resolvers,938
134,2022-05-16,5.0,Non Open Resolvers,1060
135,2022-05-17,5.1,Non Open Resolvers,941
136,2022-05-18,3.69,Non Open Resolvers,841
137,2022-05-19,3.11,Non Open Resolvers,772
138,2022-05-20,3.92,Non Open Resolvers,943
139,2022-05-21,4.62,Non Open Resolvers,1146
140,2022-05-22,3.61,Non Open Resolvers,1330
141,2022-05-23,5.35,Non Open Resolvers,878
142,2022-05-24,3.72,Non Open Resolvers,915
143,2022-05-25,4.3,Non Open Resolvers,883
144,2022-05-26,4.88,Non Open Resolvers,963
145,2022-05-27,4.17,Non Open Resolvers,935
146,2022-05-28,4.0,Non Open Resolvers,900
147,2022-05-29,4.21,Non Open Resolvers,760
148,2022-05-30,4.04,Non Open Resolvers,989
149,2022-05-31,4.35,Non Open Resolvers,1012
150,2022-06-01,4.84,Non Open Resolvers,910
151,2022-06-02,4.79,Non Open Resolvers,815
152,2022-06-03,5.5,Non Open Resolvers,745
153,2022-06-04,1.52,Non Open Resolvers,792
154,2022-06-05,3.46,Non Open Resolvers,809
155,2022-06-06,4.59,Non Open Resolvers,849
156,2022-06-07,2.55,Non Open Resolvers,863
157,2022-06-08,4.61,Non Open Resolvers,673
158,2022-06-09,5.66,Non Open Resolvers,689
159,2022-06-10,5.2,Non Open Resolvers,711
160,2022-06-11,4.4,Non Open Resolvers,863
161,2022-06-12,4.56,Non Open Resolvers,812
162,2022-06-13,5.7,Non Open Resolvers,790
163,2022-06-14,3.18,Non Open Resolvers,974
164,2022-06-15,7.25,Non Open Resolvers,910
165,2022-06-16,7.5,Non Open Resolvers,720
166,2022-06-17,2.34,Non Open Resolvers,768
167,2022-06-18,6.69,Non Open Resolvers,882
168,2022-06-19,5.06,Non Open Resolvers,850
169,2022-06-20,4.71,Non Open Resolvers,956
170,2022-06-21,5.61,Non Open Resolvers,731
171,2022-06-22,3.86,Non Open Resolvers,751
172,2022-06-23,3.57,Non Open Resolvers,868
173,2022-06-24,5.01,Non Open Resolvers,699
174,2022-06-25,5.91,Non Open Resolvers,913
175,2022-06-26,6.77,Non Open Resolvers,813
176,2022-06-27,4.38,Non Open Resolvers,731
177,2022-06-28,5.91,Non Open Resolvers,660
178,2022-06-29,5.3,Non Open Resolvers,773
179,2022-06-30,7.05,Non Open Resolvers,695
180,2022-07-01,3.81,Non Open Resolvers,578
181,2022-07-02,6.83,Non Open Resolvers,688
182,2022-07-03,4.2,Non Open Resolvers,714
183,2022-07-04,6.4,Non Open Resolvers,781
184,2022-07-05,5.3,Non Open Resolvers,679
185,2022-07-06,12.65,Non Open Resolvers,751
186,2022-07-07,7.68,Non Open Resolvers,716
187,2022-07-08,6.2,Non Open Resolvers,629
188,2022-07-09,9.02,Non Open Resolvers,687
