,rv_dt,ratio,value,category
0,2022-01-01,google_pdns_ratio,11.59,Google Public DNS
1,2022-01-02,google_pdns_ratio,9.85,Google Public DNS
2,2022-01-03,google_pdns_ratio,11.0,Google Public DNS
3,2022-01-04,google_pdns_ratio,13.0,Google Public DNS
4,2022-01-05,google_pdns_ratio,13.56,Google Public DNS
5,2022-01-06,google_pdns_ratio,14.09,Google Public DNS
6,2022-01-07,google_pdns_ratio,13.57,Google Public DNS
7,2022-01-08,google_pdns_ratio,11.98,Google Public DNS
8,2022-01-09,google_pdns_ratio,11.09,Google Public DNS
9,2022-01-10,google_pdns_ratio,13.05,Google Public DNS
10,2022-01-11,google_pdns_ratio,15.49,Google Public DNS
11,2022-01-12,google_pdns_ratio,16.82,Google Public DNS
12,2022-01-13,google_pdns_ratio,19.31,Google Public DNS
13,2022-01-14,google_pdns_ratio,19.22,Google Public DNS
14,2022-01-15,google_pdns_ratio,17.04,Google Public DNS
15,2022-01-16,google_pdns_ratio,15.16,Google Public DNS
16,2022-01-17,google_pdns_ratio,16.58,Google Public DNS
17,2022-01-18,google_pdns_ratio,17.24,Google Public DNS
18,2022-01-19,google_pdns_ratio,17.84,Google Public DNS
19,2022-01-20,google_pdns_ratio,17.82,Google Public DNS
20,2022-01-21,google_pdns_ratio,17.39,Google Public DNS
21,2022-01-22,google_pdns_ratio,16.41,Google Public DNS
22,2022-01-23,google_pdns_ratio,15.55,Google Public DNS
23,2022-01-24,google_pdns_ratio,16.82,Google Public DNS
24,2022-01-25,google_pdns_ratio,17.79,Google Public DNS
25,2022-01-26,google_pdns_ratio,17.64,Google Public DNS
26,2022-01-27,google_pdns_ratio,19.94,Google Public DNS
27,2022-01-28,google_pdns_ratio,18.06,Google Public DNS
28,2022-01-29,google_pdns_ratio,17.07,Google Public DNS
29,2022-01-30,google_pdns_ratio,15.77,Google Public DNS
30,2022-01-31,google_pdns_ratio,17.18,Google Public DNS
31,2022-02-01,google_pdns_ratio,17.04,Google Public DNS
32,2022-02-02,google_pdns_ratio,16.84,Google Public DNS
33,2022-02-03,google_pdns_ratio,17.88,Google Public DNS
34,2022-02-04,google_pdns_ratio,20.05,Google Public DNS
35,2022-02-05,google_pdns_ratio,17.64,Google Public DNS
36,2022-02-06,google_pdns_ratio,16.59,Google Public DNS
37,2022-02-07,google_pdns_ratio,18.07,Google Public DNS
38,2022-02-08,google_pdns_ratio,16.98,Google Public DNS
39,2022-02-09,google_pdns_ratio,16.98,Google Public DNS
40,2022-02-10,google_pdns_ratio,18.63,Google Public DNS
41,2022-02-11,google_pdns_ratio,17.4,Google Public DNS
42,2022-02-12,google_pdns_ratio,17.2,Google Public DNS
43,2022-02-13,google_pdns_ratio,16.44,Google Public DNS
44,2022-02-14,google_pdns_ratio,16.82,Google Public DNS
45,2022-02-15,google_pdns_ratio,16.45,Google Public DNS
46,2022-02-16,google_pdns_ratio,16.29,Google Public DNS
47,2022-02-17,google_pdns_ratio,17.57,Google Public DNS
48,2022-02-18,google_pdns_ratio,18.28,Google Public DNS
49,2022-02-19,google_pdns_ratio,17.9,Google Public DNS
50,2022-02-20,google_pdns_ratio,17.18,Google Public DNS
51,2022-02-21,google_pdns_ratio,18.82,Google Public DNS
52,2022-02-22,google_pdns_ratio,19.3,Google Public DNS
53,2022-02-23,google_pdns_ratio,18.99,Google Public DNS
54,2022-02-24,google_pdns_ratio,19.37,Google Public DNS
55,2022-02-25,google_pdns_ratio,18.85,Google Public DNS
56,2022-02-26,google_pdns_ratio,18.04,Google Public DNS
57,2022-02-27,google_pdns_ratio,17.44,Google Public DNS
58,2022-02-28,google_pdns_ratio,17.95,Google Public DNS
59,2022-03-01,google_pdns_ratio,19.56,Google Public DNS
60,2022-03-02,google_pdns_ratio,17.0,Google Public DNS
61,2022-03-03,google_pdns_ratio,18.38,Google Public DNS
62,2022-03-04,google_pdns_ratio,17.12,Google Public DNS
63,2022-03-05,google_pdns_ratio,15.49,Google Public DNS
64,2022-03-06,google_pdns_ratio,15.57,Google Public DNS
65,2022-03-07,google_pdns_ratio,18.33,Google Public DNS
66,2022-03-08,google_pdns_ratio,18.45,Google Public DNS
67,2022-03-09,google_pdns_ratio,17.18,Google Public DNS
68,2022-03-10,google_pdns_ratio,19.07,Google Public DNS
69,2022-03-11,google_pdns_ratio,18.04,Google Public DNS
70,2022-03-12,google_pdns_ratio,16.35,Google Public DNS
71,2022-03-13,google_pdns_ratio,16.36,Google Public DNS
72,2022-03-14,google_pdns_ratio,18.03,Google Public DNS
73,2022-03-15,google_pdns_ratio,16.3,Google Public DNS
74,2022-03-16,google_pdns_ratio,16.13,Google Public DNS
75,2022-03-17,google_pdns_ratio,18.31,Google Public DNS
76,2022-03-18,google_pdns_ratio,21.47,Google Public DNS
77,2022-03-19,google_pdns_ratio,19.94,Google Public DNS
78,2022-03-20,google_pdns_ratio,19.59,Google Public DNS
79,2022-03-21,google_pdns_ratio,20.38,Google Public DNS
80,2022-03-22,google_pdns_ratio,23.2,Google Public DNS
81,2022-03-23,google_pdns_ratio,25.3,Google Public DNS
82,2022-03-24,google_pdns_ratio,29.21,Google Public DNS
83,2022-03-25,google_pdns_ratio,26.59,Google Public DNS
84,2022-03-26,google_pdns_ratio,24.42,Google Public DNS
85,2022-03-27,google_pdns_ratio,23.74,Google Public DNS
86,2022-03-28,google_pdns_ratio,24.27,Google Public DNS
87,2022-03-29,google_pdns_ratio,22.46,Google Public DNS
88,2022-03-30,google_pdns_ratio,23.24,Google Public DNS
89,2022-03-31,google_pdns_ratio,25.25,Google Public DNS
90,2022-04-01,google_pdns_ratio,23.97,Google Public DNS
91,2022-04-02,google_pdns_ratio,20.52,Google Public DNS
92,2022-04-03,google_pdns_ratio,22.61,Google Public DNS
93,2022-04-04,google_pdns_ratio,23.74,Google Public DNS
94,2022-04-05,google_pdns_ratio,22.7,Google Public DNS
95,2022-04-06,google_pdns_ratio,19.43,Google Public DNS
96,2022-04-07,google_pdns_ratio,21.66,Google Public DNS
97,2022-04-08,google_pdns_ratio,21.82,Google Public DNS
98,2022-04-09,google_pdns_ratio,18.7,Google Public DNS
99,2022-04-10,google_pdns_ratio,17.64,Google Public DNS
100,2022-04-11,google_pdns_ratio,19.16,Google Public DNS
101,2022-04-12,google_pdns_ratio,18.7,Google Public DNS
102,2022-04-13,google_pdns_ratio,17.78,Google Public DNS
103,2022-04-14,google_pdns_ratio,20.2,Google Public DNS
104,2022-04-15,google_pdns_ratio,20.08,Google Public DNS
105,2022-04-16,google_pdns_ratio,20.3,Google Public DNS
106,2022-04-17,google_pdns_ratio,19.51,Google Public DNS
107,2022-04-18,google_pdns_ratio,18.03,Google Public DNS
108,2022-04-19,google_pdns_ratio,19.91,Google Public DNS
109,2022-04-20,google_pdns_ratio,17.41,Google Public DNS
110,2022-04-21,google_pdns_ratio,19.14,Google Public DNS
111,2022-04-22,google_pdns_ratio,18.66,Google Public DNS
112,2022-04-23,google_pdns_ratio,17.3,Google Public DNS
113,2022-04-24,google_pdns_ratio,16.47,Google Public DNS
114,2022-04-25,google_pdns_ratio,18.09,Google Public DNS
115,2022-04-26,google_pdns_ratio,20.6,Google Public DNS
116,2022-04-27,google_pdns_ratio,21.88,Google Public DNS
117,2022-04-28,google_pdns_ratio,23.33,Google Public DNS
118,2022-04-29,google_pdns_ratio,22.58,Google Public DNS
119,2022-04-30,google_pdns_ratio,21.93,Google Public DNS
120,2022-05-01,google_pdns_ratio,21.18,Google Public DNS
121,2022-05-02,google_pdns_ratio,22.86,Google Public DNS
122,2022-05-03,google_pdns_ratio,23.23,Google Public DNS
123,2022-05-04,google_pdns_ratio,23.27,Google Public DNS
124,2022-05-05,google_pdns_ratio,23.25,Google Public DNS
125,2022-05-06,google_pdns_ratio,21.6,Google Public DNS
126,2022-05-07,google_pdns_ratio,21.44,Google Public DNS
127,2022-05-08,google_pdns_ratio,20.66,Google Public DNS
128,2022-05-09,google_pdns_ratio,22.37,Google Public DNS
129,2022-05-10,google_pdns_ratio,21.92,Google Public DNS
130,2022-05-12,google_pdns_ratio,22.68,Google Public DNS
131,2022-05-13,google_pdns_ratio,24.67,Google Public DNS
132,2022-05-14,google_pdns_ratio,22.42,Google Public DNS
133,2022-05-15,google_pdns_ratio,21.22,Google Public DNS
134,2022-05-16,google_pdns_ratio,21.79,Google Public DNS
135,2022-05-17,google_pdns_ratio,22.47,Google Public DNS
136,2022-05-18,google_pdns_ratio,21.9,Google Public DNS
137,2022-05-19,google_pdns_ratio,23.07,Google Public DNS
138,2022-05-20,google_pdns_ratio,21.38,Google Public DNS
139,2022-05-21,google_pdns_ratio,20.81,Google Public DNS
140,2022-05-22,google_pdns_ratio,19.52,Google Public DNS
141,2022-05-23,google_pdns_ratio,20.6,Google Public DNS
142,2022-05-24,google_pdns_ratio,21.91,Google Public DNS
143,2022-05-25,google_pdns_ratio,20.6,Google Public DNS
144,2022-05-26,google_pdns_ratio,19.23,Google Public DNS
145,2022-05-27,google_pdns_ratio,21.63,Google Public DNS
146,2022-05-28,google_pdns_ratio,21.68,Google Public DNS
147,2022-05-29,google_pdns_ratio,19.41,Google Public DNS
148,2022-05-30,google_pdns_ratio,20.25,Google Public DNS
149,2022-05-31,google_pdns_ratio,20.21,Google Public DNS
150,2022-06-01,google_pdns_ratio,20.78,Google Public DNS
151,2022-06-02,google_pdns_ratio,21.18,Google Public DNS
152,2022-06-03,google_pdns_ratio,21.09,Google Public DNS
153,2022-06-04,google_pdns_ratio,20.36,Google Public DNS
154,2022-06-05,google_pdns_ratio,19.22,Google Public DNS
155,2022-06-06,google_pdns_ratio,18.28,Google Public DNS
156,2022-06-07,google_pdns_ratio,20.32,Google Public DNS
157,2022-06-08,google_pdns_ratio,19.8,Google Public DNS
158,2022-06-09,google_pdns_ratio,21.78,Google Public DNS
159,2022-06-10,google_pdns_ratio,20.89,Google Public DNS
160,2022-06-11,google_pdns_ratio,21.0,Google Public DNS
161,2022-06-12,google_pdns_ratio,19.76,Google Public DNS
162,2022-06-13,google_pdns_ratio,19.81,Google Public DNS
163,2022-06-14,google_pdns_ratio,21.04,Google Public DNS
164,2022-06-15,google_pdns_ratio,20.26,Google Public DNS
165,2022-06-16,google_pdns_ratio,21.48,Google Public DNS
166,2022-06-17,google_pdns_ratio,20.95,Google Public DNS
167,2022-06-18,google_pdns_ratio,20.22,Google Public DNS
168,2022-06-19,google_pdns_ratio,20.11,Google Public DNS
169,2022-06-20,google_pdns_ratio,19.82,Google Public DNS
170,2022-06-21,google_pdns_ratio,20.57,Google Public DNS
171,2022-06-22,google_pdns_ratio,20.26,Google Public DNS
172,2022-06-23,google_pdns_ratio,21.23,Google Public DNS
173,2022-06-24,google_pdns_ratio,20.72,Google Public DNS
174,2022-06-25,google_pdns_ratio,17.91,Google Public DNS
175,2022-06-26,google_pdns_ratio,17.22,Google Public DNS
176,2022-06-27,google_pdns_ratio,18.46,Google Public DNS
177,2022-06-28,google_pdns_ratio,18.99,Google Public DNS
178,2022-06-29,google_pdns_ratio,19.88,Google Public DNS
179,2022-06-30,google_pdns_ratio,20.5,Google Public DNS
180,2022-07-01,google_pdns_ratio,19.81,Google Public DNS
181,2022-07-02,google_pdns_ratio,19.86,Google Public DNS
182,2022-07-03,google_pdns_ratio,17.15,Google Public DNS
183,2022-07-04,google_pdns_ratio,18.24,Google Public DNS
184,2022-07-05,google_pdns_ratio,19.6,Google Public DNS
185,2022-07-06,google_pdns_ratio,19.36,Google Public DNS
186,2022-07-07,google_pdns_ratio,18.53,Google Public DNS
187,2022-07-08,google_pdns_ratio,19.05,Google Public DNS
188,2022-07-09,google_pdns_ratio,18.7,Google Public DNS
189,2022-07-10,google_pdns_ratio,17.39,Google Public DNS
190,2022-07-11,google_pdns_ratio,19.12,Google Public DNS
191,2022-07-12,google_pdns_ratio,18.53,Google Public DNS
192,2022-07-13,google_pdns_ratio,19.29,Google Public DNS
193,2022-07-14,google_pdns_ratio,18.21,Google Public DNS
194,2022-07-15,google_pdns_ratio,17.13,Google Public DNS
195,2022-07-16,google_pdns_ratio,17.07,Google Public DNS
196,2022-07-17,google_pdns_ratio,16.81,Google Public DNS
197,2022-07-18,google_pdns_ratio,16.86,Google Public DNS
198,2022-07-19,google_pdns_ratio,18.88,Google Public DNS
199,2022-07-20,google_pdns_ratio,17.45,Google Public DNS
200,2022-07-21,google_pdns_ratio,17.91,Google Public DNS
201,2022-07-22,google_pdns_ratio,16.04,Google Public DNS
202,2022-07-23,google_pdns_ratio,15.11,Google Public DNS
203,2022-07-24,google_pdns_ratio,13.83,Google Public DNS
204,2022-07-25,google_pdns_ratio,14.65,Google Public DNS
205,2022-07-26,google_pdns_ratio,13.98,Google Public DNS
206,2022-07-27,google_pdns_ratio,13.75,Google Public DNS
207,2022-07-28,google_pdns_ratio,12.92,Google Public DNS
208,2022-07-29,google_pdns_ratio,12.35,Google Public DNS
209,2022-07-30,google_pdns_ratio,11.96,Google Public DNS
210,2022-07-31,google_pdns_ratio,11.17,Google Public DNS
211,2022-08-01,google_pdns_ratio,11.23,Google Public DNS
