,rv_dt,ratio,value,category
0,2022-01-01,in_cc_ratio,85.84,Same Country
1,2022-01-02,in_cc_ratio,87.8,Same Country
2,2022-01-03,in_cc_ratio,86.3,Same Country
3,2022-01-04,in_cc_ratio,83.54,Same Country
4,2022-01-05,in_cc_ratio,82.54,Same Country
5,2022-01-06,in_cc_ratio,81.9,Same Country
6,2022-01-07,in_cc_ratio,82.42,Same Country
7,2022-01-08,in_cc_ratio,84.54,Same Country
8,2022-01-09,in_cc_ratio,86.12,Same Country
9,2022-01-10,in_cc_ratio,83.55,Same Country
10,2022-01-11,in_cc_ratio,81.55,Same Country
11,2022-01-12,in_cc_ratio,79.87,Same Country
12,2022-01-13,in_cc_ratio,77.28,Same Country
13,2022-01-14,in_cc_ratio,76.93,Same Country
14,2022-01-15,in_cc_ratio,79.33,Same Country
15,2022-01-16,in_cc_ratio,81.5,Same Country
16,2022-01-17,in_cc_ratio,79.75,Same Country
17,2022-01-18,in_cc_ratio,79.03,Same Country
18,2022-01-19,in_cc_ratio,78.44,Same Country
19,2022-01-20,in_cc_ratio,77.94,Same Country
20,2022-01-21,in_cc_ratio,78.86,Same Country
21,2022-01-22,in_cc_ratio,80.24,Same Country
22,2022-01-23,in_cc_ratio,81.48,Same Country
23,2022-01-24,in_cc_ratio,79.85,Same Country
24,2022-01-25,in_cc_ratio,78.65,Same Country
25,2022-01-26,in_cc_ratio,78.35,Same Country
26,2022-01-27,in_cc_ratio,75.88,Same Country
27,2022-01-28,in_cc_ratio,78.3,Same Country
28,2022-01-29,in_cc_ratio,79.31,Same Country
29,2022-01-30,in_cc_ratio,81.03,Same Country
30,2022-01-31,in_cc_ratio,78.91,Same Country
31,2022-02-01,in_cc_ratio,79.11,Same Country
32,2022-02-02,in_cc_ratio,79.43,Same Country
33,2022-02-03,in_cc_ratio,77.67,Same Country
34,2022-02-04,in_cc_ratio,75.16,Same Country
35,2022-02-05,in_cc_ratio,78.91,Same Country
36,2022-02-06,in_cc_ratio,80.22,Same Country
37,2022-02-07,in_cc_ratio,78.35,Same Country
38,2022-02-08,in_cc_ratio,79.56,Same Country
39,2022-02-09,in_cc_ratio,79.48,Same Country
40,2022-02-10,in_cc_ratio,78.18,Same Country
41,2022-02-11,in_cc_ratio,79.38,Same Country
42,2022-02-12,in_cc_ratio,79.65,Same Country
43,2022-02-13,in_cc_ratio,80.62,Same Country
44,2022-02-14,in_cc_ratio,79.76,Same Country
45,2022-02-15,in_cc_ratio,80.44,Same Country
46,2022-02-16,in_cc_ratio,80.72,Same Country
47,2022-02-17,in_cc_ratio,79.2,Same Country
48,2022-02-18,in_cc_ratio,78.09,Same Country
49,2022-02-19,in_cc_ratio,78.06,Same Country
50,2022-02-20,in_cc_ratio,79.02,Same Country
51,2022-02-21,in_cc_ratio,77.06,Same Country
52,2022-02-22,in_cc_ratio,76.63,Same Country
53,2022-02-23,in_cc_ratio,77.05,Same Country
54,2022-02-24,in_cc_ratio,76.65,Same Country
55,2022-02-25,in_cc_ratio,77.72,Same Country
56,2022-02-26,in_cc_ratio,78.67,Same Country
57,2022-02-27,in_cc_ratio,79.35,Same Country
58,2022-02-28,in_cc_ratio,78.72,Same Country
59,2022-03-01,in_cc_ratio,77.09,Same Country
60,2022-03-02,in_cc_ratio,79.61,Same Country
61,2022-03-03,in_cc_ratio,78.35,Same Country
62,2022-03-04,in_cc_ratio,79.65,Same Country
63,2022-03-05,in_cc_ratio,81.5,Same Country
64,2022-03-06,in_cc_ratio,81.19,Same Country
65,2022-03-07,in_cc_ratio,77.95,Same Country
66,2022-03-08,in_cc_ratio,77.8,Same Country
67,2022-03-09,in_cc_ratio,79.27,Same Country
68,2022-03-10,in_cc_ratio,77.15,Same Country
69,2022-03-11,in_cc_ratio,78.3,Same Country
70,2022-03-12,in_cc_ratio,79.98,Same Country
71,2022-03-13,in_cc_ratio,80.49,Same Country
72,2022-03-14,in_cc_ratio,78.44,Same Country
73,2022-03-15,in_cc_ratio,80.0,Same Country
74,2022-03-16,in_cc_ratio,80.21,Same Country
75,2022-03-17,in_cc_ratio,77.41,Same Country
76,2022-03-18,in_cc_ratio,73.65,Same Country
