,rv_dt,value,category,rv_seen
0,2022-01-01,86.51,Non Open Resolvers,2434647
1,2022-01-02,86.17,Non Open Resolvers,2559613
2,2022-01-03,85.16,Non Open Resolvers,2641830
3,2022-01-04,84.76,Non Open Resolvers,2636474
4,2022-01-05,85.24,Non Open Resolvers,2711422
5,2022-01-06,85.13,Non Open Resolvers,2662711
6,2022-01-07,84.99,Non Open Resolvers,2632504
7,2022-01-08,84.07,Non Open Resolvers,2583547
8,2022-01-09,84.92,Non Open Resolvers,2534828
9,2022-01-10,84.62,Non Open Resolvers,2587606
10,2022-01-11,84.65,Non Open Resolvers,2560222
11,2022-01-12,84.71,Non Open Resolvers,2590388
12,2022-01-13,85.34,Non Open Resolvers,2607747
13,2022-01-14,85.89,Non Open Resolvers,2468280
14,2022-01-15,85.71,Non Open Resolvers,2412155
15,2022-01-16,86.02,Non Open Resolvers,2426228
16,2022-01-17,85.41,Non Open Resolvers,2514727
17,2022-01-18,85.24,Non Open Resolvers,2528071
18,2022-01-19,85.81,Non Open Resolvers,2521868
19,2022-01-20,85.59,Non Open Resolvers,2498160
20,2022-01-21,86.13,Non Open Resolvers,2558561
21,2022-01-22,86.05,Non Open Resolvers,2551509
22,2022-01-23,86.15,Non Open Resolvers,2488743
23,2022-01-24,85.76,Non Open Resolvers,2547081
24,2022-01-25,85.64,Non Open Resolvers,2537731
25,2022-01-26,86.2,Non Open Resolvers,2468114
26,2022-01-27,85.58,Non Open Resolvers,2570548
27,2022-01-28,85.75,Non Open Resolvers,2498300
28,2022-01-29,86.15,Non Open Resolvers,2419379
29,2022-01-30,86.64,Non Open Resolvers,2421060
30,2022-01-31,85.79,Non Open Resolvers,2571718
31,2022-02-01,85.53,Non Open Resolvers,2817213
32,2022-02-02,85.6,Non Open Resolvers,2883830
33,2022-02-03,85.81,Non Open Resolvers,2835546
34,2022-02-04,85.53,Non Open Resolvers,2789107
35,2022-02-05,86.27,Non Open Resolvers,2832786
36,2022-02-06,86.39,Non Open Resolvers,2819219
37,2022-02-07,85.62,Non Open Resolvers,2910547
38,2022-02-08,85.68,Non Open Resolvers,2934300
39,2022-02-09,85.59,Non Open Resolvers,2999545
40,2022-02-10,86.72,Non Open Resolvers,2981495
41,2022-02-11,86.62,Non Open Resolvers,2814478
42,2022-02-12,86.71,Non Open Resolvers,2887174
43,2022-02-13,86.47,Non Open Resolvers,2909333
44,2022-02-14,85.94,Non Open Resolvers,2952925
45,2022-02-15,86.72,Non Open Resolvers,2955381
46,2022-02-16,86.89,Non Open Resolvers,2919388
47,2022-02-17,86.67,Non Open Resolvers,2879088
48,2022-02-18,87.42,Non Open Resolvers,2705941
49,2022-02-19,86.98,Non Open Resolvers,2744449
50,2022-02-20,87.5,Non Open Resolvers,2737981
